row_id,model,route,reasoning,family,planned,dispatched,graded,passed,failed,unscored,pending,pass_over_planned,pass_over_graded,graded_coverage,latency_p50_ms,latency_p95_ms,latency_max_ms,token_usage_observations,input_tokens,output_tokens,total_tokens,timeout_ms,source_commit
fable-max,anthropic/claude-fable-5-1,omp,max,predictions,39,39,29,6,23,10,0,0.15384615384615385,0.20689655172413793,0.7435897435897436,49886,109258,113106,29,298,88110,88408,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-max,anthropic/claude-fable-5-1,omp,max,spot,12,12,7,6,1,5,0,0.5,0.8571428571428571,0.5833333333333334,31777,105157,105157,7,62,14183,14245,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-low,anthropic/claude-opus-5,omp,low,perps,54,54,54,39,15,0,0,0.7222222222222222,0.7222222222222222,1.0,20793,66101,93112,54,552,59367,59919,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-low,anthropic/claude-opus-5,omp,low,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,27301,39674,48808,39,362,33527,33889,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-low,anthropic/claude-opus-5,omp,low,spot,12,12,12,9,3,0,0,0.75,0.75,1.0,18989,44401,44401,12,98,7814,7912,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-medium,anthropic/claude-opus-5,omp,medium,perps,54,54,54,36,18,0,0,0.6666666666666666,0.6666666666666666,1.0,22676,80713,91520,54,558,90486,91044,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-medium,anthropic/claude-opus-5,omp,medium,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,31234,49255,53795,39,368,43909,44277,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-medium,anthropic/claude-opus-5,omp,medium,spot,12,12,12,9,3,0,0,0.75,0.75,1.0,21917,40729,40729,12,102,9014,9116,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-high,anthropic/claude-opus-5,omp,high,perps,54,54,51,35,16,3,0,0.6481481481481481,0.6862745098039216,0.9444444444444444,23801,97892,108660,51,526,109272,109798,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-high,anthropic/claude-opus-5,omp,high,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,35538,76504,95787,39,402,63672,64074,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-high,anthropic/claude-opus-5,omp,high,spot,12,12,12,9,3,0,0,0.75,0.75,1.0,24797,64549,64549,12,102,13454,13556,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-max,anthropic/claude-opus-5,omp,max,perps,54,54,37,24,13,17,0,0.4444444444444444,0.6486486486486487,0.6851851851851852,30185,109821,119441,37,326,89549,89875,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-max,anthropic/claude-opus-5,omp,max,predictions,39,39,36,9,27,3,0,0.23076923076923078,0.25,0.9230769230769231,54551,92609,111419,36,368,100645,101013,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-max,anthropic/claude-opus-5,omp,max,spot,12,12,12,8,4,0,0,0.6666666666666666,0.6666666666666666,1.0,39055,107451,107451,12,108,33013,33121,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
devin-gemini-flash-medium,devin/gemini-3-8-flash,devin,medium,perps,54,54,54,23,31,0,0,0.42592592592592593,0.42592592592592593,1.0,28510,77069,82101,54,6462351,97337,6559688,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-gemini-flash-medium,devin/gemini-3-8-flash,devin,medium,predictions,39,39,39,3,36,0,0,0.07692307692307693,0.07692307692307693,1.0,53128,130507,133302,39,9644595,131737,9776332,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-gemini-flash-medium,devin/gemini-3-8-flash,devin,medium,spot,12,12,12,8,4,0,0,0.6666666666666666,0.6666666666666666,1.0,24452,56747,56747,12,1080808,17864,1098672,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-gemini-flash-high,devin/gemini-3-8-flash,devin,high,perps,54,54,54,17,37,0,0,0.3148148148148148,0.3148148148148148,1.0,30740,71217,91740,54,6358729,110841,6469570,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-gemini-flash-high,devin/gemini-3-8-flash,devin,high,predictions,39,39,39,2,37,0,0,0.05128205128205128,0.05128205128205128,1.0,54092,168865,185114,39,10299006,169873,10468879,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-gemini-flash-high,devin/gemini-3-8-flash,devin,high,spot,12,12,12,4,8,0,0,0.3333333333333333,0.3333333333333333,1.0,32340,90497,90497,12,1185367,23300,1208667,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-medium,devin/swe-2,devin,medium,perps,54,54,53,23,30,1,0,0.42592592592592593,0.4339622641509434,0.9814814814814815,38136,106901,115732,53,4422467,37138,4459605,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-medium,devin/swe-2,devin,medium,predictions,39,39,39,4,35,0,0,0.10256410256410256,0.10256410256410256,1.0,43779,96729,103619,39,3755147,29727,3784874,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-medium,devin/swe-2,devin,medium,spot,12,12,12,4,8,0,0,0.3333333333333333,0.3333333333333333,1.0,37940,80468,80468,12,1040896,8924,1049820,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-high,devin/swe-2,devin,high,perps,54,54,52,22,30,2,0,0.4074074074074074,0.4230769230769231,0.9629629629629629,47219,198751,245149,52,4825501,61843,4887344,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-high,devin/swe-2,devin,high,predictions,39,39,38,3,35,1,0,0.07692307692307693,0.07894736842105263,0.9743589743589743,51250,175539,232605,38,5781356,64779,5846135,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-high,devin/swe-2,devin,high,spot,12,12,12,7,5,0,0,0.5833333333333334,0.5833333333333334,1.0,40972,81782,81782,12,1113247,10542,1123789,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-max,devin/swe-2,devin,max,perps,54,54,54,18,36,0,0,0.3333333333333333,0.3333333333333333,1.0,54758,248543,271626,54,6200296,91642,6291938,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-max,devin/swe-2,devin,max,predictions,39,39,38,2,36,1,0,0.05128205128205128,0.05263157894736842,0.9743589743589743,67595,196802,241034,38,6596447,86862,6683309,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-max,devin/swe-2,devin,max,spot,12,12,10,7,3,2,0,0.5833333333333334,0.7,0.8333333333333334,47479,70569,70569,10,704440,10551,714991,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-minimal,muse-spark-1.3,muse,minimal,perps,54,54,54,39,15,0,0,0.7222222222222222,0.7222222222222222,1.0,13447,43435,55197,54,5547695,34404,5582099,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-minimal,muse-spark-1.3,muse,minimal,predictions,39,39,19,3,16,20,0,0.07692307692307693,0.15789473684210525,0.48717948717948717,20192,37482,37482,19,2192861,12760,2205621,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-minimal,muse-spark-1.3,muse,minimal,spot,12,12,12,11,1,0,0,0.9166666666666666,0.9166666666666666,1.0,12238,16382,16382,12,957370,4042,961412,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-low,muse-spark-1.3,muse,low,perps,54,54,54,35,19,0,0,0.6481481481481481,0.6481481481481481,1.0,18396,46598,70350,54,6905293,59256,6964549,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-low,muse-spark-1.3,muse,low,predictions,39,39,11,2,9,28,0,0.05128205128205128,0.18181818181818182,0.28205128205128205,26644,57774,57774,11,1856407,14102,1870509,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-low,muse-spark-1.3,muse,low,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,14032,22477,22477,12,959865,6495,966360,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-medium,muse-spark-1.3,muse,medium,perps,54,54,47,35,12,7,0,0.6481481481481481,0.7446808510638298,0.8703703703703703,20733,65646,86869,47,6325208,79973,6405181,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-medium,muse-spark-1.3,muse,medium,predictions,39,39,0,0,0,39,0,0.0,,0.0,,,,0,,,,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-medium,muse-spark-1.3,muse,medium,spot,12,12,12,10,2,0,0,0.8333333333333334,0.8333333333333334,1.0,15401,32373,32373,12,1020937,11865,1032802,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-high,muse-spark-1.3,muse,high,perps,54,54,38,27,11,16,0,0.5,0.7105263157894737,0.7037037037037037,18047,91590,99276,38,4675431,64342,4739773,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-high,muse-spark-1.3,muse,high,predictions,39,39,0,0,0,39,0,0.0,,0.0,,,,0,,,,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-high,muse-spark-1.3,muse,high,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,16215,29528,29528,12,963659,10785,974444,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-max,muse-spark-1.3,muse,max,perps,54,54,33,27,6,21,0,0.5,0.8181818181818182,0.6111111111111112,22795,97248,115920,33,3902324,64354,3966678,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-max,muse-spark-1.3,muse,max,predictions,39,39,0,0,0,39,0,0.0,,0.0,,,,0,,,,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-max,muse-spark-1.3,muse,max,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,23641,35526,35526,12,967125,15349,982474,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
sol-low,openai-codex/gpt-5.6-sol,omp,low,perps,54,54,54,38,16,0,0,0.7037037037037037,0.7037037037037037,1.0,27125,64165,95621,54,793863,27466,821329,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-low,openai-codex/gpt-5.6-sol,omp,low,predictions,39,39,39,12,27,0,0,0.3076923076923077,0.3076923076923077,1.0,32582,53441,72013,39,713015,16125,729140,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-low,openai-codex/gpt-5.6-sol,omp,low,spot,12,12,11,11,0,1,0,0.9166666666666666,1.0,0.9166666666666666,21238,47414,47414,11,148292,2640,150932,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-medium,openai-codex/gpt-5.6-sol,omp,medium,perps,54,54,50,35,15,4,0,0.6481481481481481,0.7,0.9259259259259259,26025,90495,110443,50,839534,37375,876909,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-medium,openai-codex/gpt-5.6-sol,omp,medium,predictions,39,39,39,11,28,0,0,0.28205128205128205,0.28205128205128205,1.0,35893,84211,104134,39,775228,24393,799621,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-medium,openai-codex/gpt-5.6-sol,omp,medium,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,22293,42228,42228,12,224915,3995,228910,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-high,openai-codex/gpt-5.6-sol,omp,high,perps,54,54,49,37,12,5,0,0.6851851851851852,0.7551020408163265,0.9074074074074074,27658,95807,117818,49,912780,42295,955075,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-high,openai-codex/gpt-5.6-sol,omp,high,predictions,39,39,4,1,3,35,0,0.02564102564102564,0.25,0.10256410256410256,46136,50022,50022,4,107438,3346,110784,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-high,openai-codex/gpt-5.6-sol,omp,high,spot,12,12,12,9,3,0,0,0.75,0.75,1.0,21814,75428,75428,12,353294,6368,359662,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-max,openai-codex/gpt-5.6-sol,omp,max,perps,54,54,24,18,6,30,0,0.3333333333333333,0.75,0.4444444444444444,33352,85556,97314,24,345288,20620,365908,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-max,openai-codex/gpt-5.6-sol,omp,max,predictions,39,39,0,0,0,39,0,0.0,,0.0,,,,0,,,,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-max,openai-codex/gpt-5.6-sol,omp,max,spot,12,12,12,10,2,0,0,0.8333333333333334,0.8333333333333334,1.0,22762,64662,64662,12,358109,11345,369454,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-low,openai-codex/gpt-5.6-terra,omp,low,perps,54,54,54,34,20,0,0,0.6296296296296297,0.6296296296296297,1.0,24500,69211,78701,54,856521,35260,891781,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-low,openai-codex/gpt-5.6-terra,omp,low,predictions,39,39,39,10,29,0,0,0.2564102564102564,0.2564102564102564,1.0,26842,58749,61657,39,704216,15496,719712,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-low,openai-codex/gpt-5.6-terra,omp,low,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,20966,39773,39773,12,133324,2418,135742,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-medium,openai-codex/gpt-5.6-terra,omp,medium,perps,54,54,54,33,21,0,0,0.6111111111111112,0.6111111111111112,1.0,23513,69225,88124,54,917983,37414,955397,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-medium,openai-codex/gpt-5.6-terra,omp,medium,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,25520,48662,58080,39,688362,16146,704508,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-medium,openai-codex/gpt-5.6-terra,omp,medium,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,19860,30389,30389,12,217172,2992,220164,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-high,openai-codex/gpt-5.6-terra,omp,high,perps,54,54,52,34,18,2,0,0.6296296296296297,0.6538461538461539,0.9629629629629629,24787,85963,92129,52,856221,45528,901749,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-high,openai-codex/gpt-5.6-terra,omp,high,predictions,39,39,15,4,11,24,0,0.10256410256410256,0.26666666666666666,0.38461538461538464,24911,49130,49130,15,279836,7299,287135,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-high,openai-codex/gpt-5.6-terra,omp,high,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,19701,42777,42777,12,213840,4134,217974,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-max,openai-codex/gpt-5.6-terra,omp,max,perps,54,54,19,13,6,35,0,0.24074074074074073,0.6842105263157895,0.35185185185185186,31015,118260,118260,19,154553,20040,174593,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-max,openai-codex/gpt-5.6-terra,omp,max,predictions,39,39,0,0,0,39,0,0.0,,0.0,,,,0,,,,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-max,openai-codex/gpt-5.6-terra,omp,max,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,23154,86326,86326,12,206427,12030,218457,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-low,openai-codex/gpt-6-astra,omp,low,perps,54,54,54,33,21,0,0,0.6111111111111112,0.6111111111111112,1.0,26609,52689,62381,54,985444,16362,1001806,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-low,openai-codex/gpt-6-astra,omp,low,predictions,39,39,39,12,27,0,0,0.3076923076923077,0.3076923076923077,1.0,35216,47320,51589,39,673055,13611,686666,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-low,openai-codex/gpt-6-astra,omp,low,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,25277,57603,57603,12,145914,2383,148297,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-medium,openai-codex/gpt-6-astra,omp,medium,perps,54,54,54,33,21,0,0,0.6111111111111112,0.6111111111111112,1.0,28503,55700,61084,54,1001620,16985,1018605,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-medium,openai-codex/gpt-6-astra,omp,medium,predictions,39,39,39,12,27,0,0,0.3076923076923077,0.3076923076923077,1.0,35118,50063,50551,39,736973,14306,751279,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-medium,openai-codex/gpt-6-astra,omp,medium,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,23581,61115,61115,12,155405,2794,158199,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-high,openai-codex/gpt-6-astra,omp,high,perps,54,54,54,33,21,0,0,0.6111111111111112,0.6111111111111112,1.0,30680,65832,72278,54,1107673,20683,1128356,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-high,openai-codex/gpt-6-astra,omp,high,predictions,39,39,39,12,27,0,0,0.3076923076923077,0.3076923076923077,1.0,37913,49686,54943,39,712316,14467,726783,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-high,openai-codex/gpt-6-astra,omp,high,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,25469,50487,50487,12,280707,2901,283608,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-xhigh,openai-codex/gpt-6-astra,omp,xhigh,perps,54,54,9,5,4,45,0,0.09259259259259259,0.5555555555555556,0.16666666666666666,36940,60080,60080,9,163609,4889,168498,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-xhigh,openai-codex/gpt-6-astra,omp,xhigh,predictions,39,39,33,10,23,6,0,0.2564102564102564,0.30303030303030304,0.8461538461538461,38871,70022,74524,33,836570,22276,858846,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-xhigh,openai-codex/gpt-6-astra,omp,xhigh,spot,12,12,12,10,2,0,0,0.8333333333333334,0.8333333333333334,1.0,27873,60091,60091,12,313936,5712,319648,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-max,openai-codex/gpt-6-astra,omp,max,perps,54,54,20,13,7,34,0,0.24074074074074073,0.65,0.37037037037037035,38771,109157,115704,20,362722,20912,383634,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-max,openai-codex/gpt-6-astra,omp,max,predictions,39,39,0,0,0,39,0,0.0,,0.0,,,,0,,,,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-max,openai-codex/gpt-6-astra,omp,max,spot,12,12,12,10,2,0,0,0.8333333333333334,0.8333333333333334,1.0,32032,77156,77156,12,312529,10582,323111,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-low,xai-oauth/grok-4.6,omp,low,perps,54,54,54,40,14,0,0,0.7407407407407407,0.7407407407407407,1.0,23034,74696,115568,54,1505412,35481,1540893,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-low,xai-oauth/grok-4.6,omp,low,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,30387,54983,78763,39,1107363,25660,1133023,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-low,xai-oauth/grok-4.6,omp,low,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,18686,37467,37467,12,296194,2835,299029,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-medium,xai-oauth/grok-4.6,omp,medium,perps,54,54,47,40,7,7,0,0.7407407407407407,0.851063829787234,0.8703703703703703,29624,87460,115985,47,1282949,67293,1350242,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-medium,xai-oauth/grok-4.6,omp,medium,predictions,39,39,35,7,28,4,0,0.1794871794871795,0.2,0.8974358974358975,40454,84008,91479,35,1397191,50988,1448179,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-medium,xai-oauth/grok-4.6,omp,medium,spot,12,12,11,11,0,1,0,0.9166666666666666,1.0,0.9166666666666666,20986,29917,29917,11,294536,4503,299039,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-high,xai-oauth/grok-4.6,omp,high,perps,54,54,28,25,3,26,0,0.46296296296296297,0.8928571428571429,0.5185185185185185,30130,109756,114313,28,705347,50275,755622,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-high,xai-oauth/grok-4.6,omp,high,predictions,39,39,6,0,6,33,0,0.0,0.0,0.15384615384615385,59583,68409,68409,6,302660,12190,314850,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-high,xai-oauth/grok-4.6,omp,high,spot,12,12,12,12,0,0,0,1.0,1.0,1.0,24844,40631,40631,12,263898,9414,273312,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-xhigh,xai-oauth/grok-4.6,omp,xhigh,perps,54,54,26,22,4,28,0,0.4074074074074074,0.8461538461538461,0.48148148148148145,34511,91596,113721,26,779630,49081,828711,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-xhigh,xai-oauth/grok-4.6,omp,xhigh,predictions,39,39,0,0,0,39,0,0.0,,0.0,,,,0,,,,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
grok-xhigh,xai-oauth/grok-4.6,omp,xhigh,spot,12,12,12,11,1,0,0,0.9166666666666666,0.9166666666666666,1.0,24000,63054,63054,12,357098,11248,368346,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
